"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: sizes"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.314175,0.018472,"ns/op","25 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,74.955726,3.718710,"ns/op","25 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,92.127105,3.890740,"ns/op","25 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,139.406052,11.825064,"ns/op","25 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,171.993213,7.954011,"ns/op","25 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,90.590646,3.574160,"ns/op","25 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,94.871603,1.402416,"ns/op","25 30"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,3.306027,0.005600,"ns/op","30 0"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,77.015210,3.415035,"ns/op","30 5"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,90.806275,3.880782,"ns/op","30 10"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,106.207263,3.900260,"ns/op","30 15"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,169.520545,6.094742,"ns/op","30 20"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,95.912146,3.732152,"ns/op","30 25"
"dotty.tools.benchmarks.tuples.Concat.tupleConcat","avgt",1,20,102.197442,3.626954,"ns/op","30 30"
